,Map_A_Name,Map_A_Isovist,Row_A_X,Row_A_Y,Row_A_Z,Map_B_Name,Map_B_Isovist,Row_B_X,Row_B_Y,Row_B_Z
0,BaseMap,5816,80,70,143,Settlement_6,5557,80,70,143
1,BaseMap,159,74,11,172,Settlement_6,103,73,11,172
2,BaseMap,2425,158,51,155,Settlement_6,2218,159,51,156
3,BaseMap,4749,51,66,112,Settlement_6,4617,51,67,111
4,BaseMap,1270,169,28,154,Settlement_6,1153,170,28,155
5,BaseMap,2458,42,52,108,Settlement_6,2246,41,52,107
6,BaseMap,2558,190,54,177,Settlement_6,2341,189,54,177
7,BaseMap,2668,293,58,59,Settlement_6,2411,292,57,60
8,BaseMap,1041,52,24,4,Settlement_6,931,51,24,4
9,BaseMap,2637,24,57,116,Settlement_6,2400,23,57,117
10,BaseMap,5644,17,69,48,Settlement_6,4940,16,68,47
11,BaseMap,6612,134,75,78,Settlement_6,6776,134,75,79
12,BaseMap,1122,61,26,154,Settlement_6,1044,61,26,153
13,BaseMap,6264,21,72,142,Settlement_6,6109,20,72,141
14,BaseMap,5519,9,69,27,Settlement_6,5164,9,69,27
15,BaseMap,6921,6,77,128,Settlement_6,7304,7,77,128
16,BaseMap,7969,37,90,92,Settlement_6,9794,38,91,92
17,BaseMap,8301,23,100,117,Settlement_6,10990,22,99,117
18,BaseMap,6731,19,76,139,Settlement_6,6704,19,75,138
19,BaseMap,3531,279,63,105,Settlement_6,2838,279,63,105
20,BaseMap,5967,74,71,54,Settlement_6,5962,74,71,54
21,BaseMap,6529,12,75,89,Settlement_6,6813,12,75,89
22,BaseMap,2924,181,63,29,Settlement_6,2568,180,62,30
23,BaseMap,7454,62,84,14,Settlement_6,8414,63,83,13
24,BaseMap,7784,53,88,83,Settlement_6,9328,53,88,84
25,BaseMap,4084,173,64,109,Settlement_6,3969,172,65,108
26,BaseMap,7938,57,90,39,Settlement_6,9800,56,91,40
27,BaseMap,6857,43,77,143,Settlement_6,7198,43,77,143
28,BaseMap,3967,237,64,126,Settlement_6,3183,237,63,125
29,BaseMap,3517,175,63,139,Settlement_6,2894,174,63,140
30,BaseMap,3357,275,63,32,Settlement_6,2826,276,63,33
31,BaseMap,5052,138,67,132,Settlement_6,4910,139,68,132
32,BaseMap,7294,4,81,139,Settlement_6,8043,5,81,138
33,BaseMap,4495,186,65,44,Settlement_6,3804,185,65,43
34,BaseMap,3686,269,63,35,Settlement_6,2878,270,63,34
35,BaseMap,4596,138,66,1,Settlement_6,4202,139,66,2
36,BaseMap,3880,218,64,59,Settlement_6,3420,218,64,60
37,BaseMap,4854,140,66,0,Settlement_6,4396,139,66,0
38,BaseMap,4698,180,66,147,Settlement_6,4610,180,67,148
39,BaseMap,3654,255,63,43,Settlement_6,2988,254,63,44
40,BaseMap,6386,11,73,176,Settlement_6,6210,12,73,176
41,BaseMap,6732,4,76,161,Settlement_6,6877,4,76,161
42,BaseMap,3522,272,63,61,Settlement_6,3048,271,63,61
43,BaseMap,4370,189,65,19,Settlement_6,3881,188,65,19
44,BaseMap,7657,78,87,179,Settlement_6,9226,79,87,178
45,BaseMap,5318,154,68,120,Settlement_6,4997,153,68,121
46,BaseMap,4277,221,65,12,Settlement_6,3789,221,65,12
47,BaseMap,5054,173,67,4,Settlement_6,4811,172,68,4
48,BaseMap,7805,73,88,15,Settlement_6,9334,74,88,15
49,BaseMap,5423,290,68,23,Settlement_6,4842,289,68,22
50,BaseMap,7394,267,83,114,Settlement_6,8484,267,84,115
51,BaseMap,6378,250,73,106,Settlement_6,6036,250,72,107
52,BaseMap,7599,272,86,119,Settlement_6,8667,273,85,119
53,BaseMap,7401,182,83,158,Settlement_6,8362,181,83,159
54,BaseMap,9302,110,145,130,Settlement_6,15157,109,145,129
